crime_id,date,time,hour,day_of_week,month,year,latitude,longitude,zone,district,crime_type,crime_severity,weather,is_festival_day,is_weekend,is_night,nearby_police_station_distance_km,population_density,street_lighting,unemployment_index,alcohol_outlet_nearby,crime_occurred
CR000024,2023-08-12,09:48:58,9,Saturday,8,2023,13.079047,80.266313,Central,Egmore,Vehicle-theft,7,Hot,0,1,0,1.96,Very High,Good,0.35,0,1
CR000025,2019-03-14,19:53:41,19,Thursday,3,2019,13.041198,80.26976,Central,Mylapore,Vehicle-theft,4,Rainy,0,0,1,1.8,Medium,Good,0.07,0,1
CR000026,2021-12-23,10:43:03,10,Thursday,12,2021,13.081696,80.301439,North,Washermanpet,Vehicle-theft,6,Foggy,0,0,0,1.4,Low,Poor,0.17,0,1
CR000027,2020-03-18,19:28:57,19,Wednesday,3,2020,13.082266,80.219869,West,Anna Nagar,Burglary,5,Rainy,0,0,1,4.19,Low,Good,0.29,1,1
CR000028,2023-03-31,04:24:46,4,Friday,3,2023,12.943247,80.114949,South,Tambaram,Murder,9,Rainy,0,0,1,2.52,Medium,Moderate,0.37,0,1
CR000029,2019-04-04,10:19:42,10,Thursday,4,2019,13.129858,80.306863,North,Royapuram,Kidnapping,10,Clear,0,0,0,1.6,Low,Poor,0.07,0,1
CR000030,2023-04-11,11:13:01,11,Tuesday,4,2023,13.08223,80.2844,Central,Egmore,Fraud,6,Rainy,0,0,0,1.3,Low,Moderate,0.18,1,1
CR000031,2024-12-05,00:04:04,0,Thursday,12,2024,12.998693,80.225013,South,Guindy,Kidnapping,9,Hot,0,0,1,4.03,Very High,Poor,0.24,1,1
CR000032,2023-08-14,06:55:25,6,Monday,8,2023,13.015271,80.242732,East,Thiruvanmiyur,Vehicle-theft,4,Rainy,0,0,0,2.78,Medium,Good,0.13,0,1
CR000033,2024-05-02,03:02:52,3,Thursday,5,2024,12.959271,80.200027,South,Velachery,Vehicle-theft,5,Rainy,0,0,1,1.14,Medium,Good,0.38,1,1
CR000034,2019-08-21,02:06:14,2,Wednesday,8,2019,12.987878,80.232384,South,Velachery,Burglary,5,Foggy,0,0,1,0.52,Medium,Good,0.29,0,1
CR000035,2022-11-29,09:02:27,9,Tuesday,11,2022,12.987457,80.221756,South,Velachery,Vehicle-theft,5,Rainy,0,0,0,3.36,Low,Good,0.28,0,1
CR000036,2023-12-21,00:18:45,0,Thursday,12,2023,13.080012,80.261723,Central,Egmore,Vehicle-theft,7,Rainy,0,0,1,4.06,Low,Poor,0.09,1,1
CR000037,2019-09-19,07:50:14,7,Thursday,9,2019,13.042098,80.257694,Central,Nungambakkam,Theft,5,Foggy,0,0,0,2.36,High,Poor,0.27,1,1
CR000038,2024-12-02,11:24:54,11,Monday,12,2024,13.011792,80.253974,Central,Mylapore,Assault,6,Foggy,0,0,0,4.52,Low,Good,0.06,1,1
CR000039,2020-07-29,19:47:42,19,Wednesday,7,2020,13.005134,80.237228,South,Adyar,Vehicle-theft,6,Rainy,0,0,1,0.64,Medium,Moderate,0.34,0,1
CR000040,2021-06-30,11:26:02,11,Wednesday,6,2021,13.123554,80.14157,West,Ambattur,Murder,8,Foggy,0,0,0,0.83,Low,Poor,0.21,0,1
CR000041,2019-11-16,07:18:51,7,Saturday,11,2019,12.99015,80.262316,East,Thiruvanmiyur,Vehicle-theft,7,Rainy,1,1,0,2.5,Medium,Poor,0.09,1,1
CR000042,2020-10-06,03:36:56,3,Tuesday,10,2020,12.915287,80.128863,South,Tambaram,Fraud,5,Rainy,0,0,1,1.33,Medium,Good,0.1,0,1
CR000043,2019-06-22,20:52:57,20,Saturday,6,2019,12.926999,80.120746,South,Tambaram,Murder,10,Foggy,0,1,1,2.76,Low,Poor,0.26,0,1
CR000044,2024-09-16,07:13:25,7,Monday,9,2024,13.012433,80.237242,South,Adyar,Theft,4,Clear,0,0,0,2.74,Medium,Good,0.15,1,1
CR000045,2021-01-04,20:02:58,20,Monday,1,2021,13.049855,80.263738,East,Marina,Vehicle-theft,7,Foggy,0,0,1,4.28,Medium,Moderate,0.28,1,1
CR000046,2021-02-10,19:36:23,19,Wednesday,2,2021,13.004039,80.182364,West,K.K. Nagar,Burglary,8,Foggy,0,0,1,4.27,Medium,Poor,0.21,0,1
CR000047,2021-04-04,11:38:31,11,Sunday,4,2021,12.937126,80.137326,South,Tambaram,Drug-offense,9,Foggy,0,1,0,5.79,Medium,Poor,0.13,1,1
CR000048,2023-12-17,18:10:01,18,Sunday,12,2023,13.110901,80.121523,West,Ambattur,Theft,4,Rainy,0,1,0,4.05,Low,Poor,0.23,1,1
CR000049,2020-01-28,11:45:29,11,Tuesday,1,2020,13.001716,80.266969,East,Besant Nagar,Eve-teasing,2,Hot,0,0,0,1.51,Low,Moderate,0.2,0,1
CR000050,2020-10-13,11:15:21,11,Tuesday,10,2020,13.124826,80.139835,West,Ambattur,Kidnapping,9,Clear,0,0,0,3.95,Medium,Moderate,0.29,0,1
CR000051,2024-02-17,10:56:40,10,Saturday,2,2024,13.12366,80.286751,North,Washermanpet,Burglary,7,Foggy,0,1,0,1.63,Low,Moderate,0.09,0,1
CR000052,2022-07-21,15:51:17,15,Thursday,7,2022,13.009817,80.266588,South,Adyar,Vehicle-theft,7,Hot,0,0,0,5.17,Medium,Good,0.09,0,1
CR000053,2022-11-15,10:36:14,10,Tuesday,11,2022,13.031354,80.265282,Central,Mylapore,Drug-offense,9,Clear,1,0,0,3.88,Low,Poor,0.06,1,1
CR000054,2022-12-10,05:33:39,5,Saturday,12,2022,13.046349,80.290347,East,Marina,Vehicle-theft,7,Rainy,0,1,1,1.54,Low,Moderate,0.38,1,1
CR000055,2020-07-07,21:39:29,21,Tuesday,7,2020,12.983929,80.271886,South,Adyar,Kidnapping,8,Rainy,0,0,1,0.94,Low,Good,0.38,0,1
CR000056,2023-01-19,07:04:27,7,Thursday,1,2023,13.114664,80.252471,North,Perambur,Assault,8,Hot,0,0,0,0.91,Low,Moderate,0.18,0,1
CR000057,2019-12-06,07:50:45,7,Friday,12,2019,13.030198,80.281455,Central,Triplicane,Assault,9,Foggy,0,0,0,0.73,Medium,Moderate,0.18,1,1
CR000058,2021-03-02,20:16:00,20,Tuesday,3,2021,13.126296,80.273222,North,Royapuram,Assault,6,Rainy,0,0,1,3.92,Medium,Poor,0.14,1,1
CR000059,2019-10-20,23:34:42,23,Sunday,10,2019,13.046706,80.27844,East,Marina,Drug-offense,8,Foggy,1,1,1,4.74,Medium,Moderate,0.06,1,1
CR000060,2022-11-09,08:21:52,8,Wednesday,11,2022,12.922963,80.150004,South,Tambaram,Fraud,4,Hot,0,0,0,4.57,Medium,Moderate,0.21,1,1
CR000061,2020-02-29,13:39:42,13,Saturday,2,2020,13.09866,80.251738,North,Perambur,Robbery,6,Clear,0,1,0,5.2,Medium,Poor,0.11,1,1
CR000062,2022-08-18,23:31:38,23,Thursday,8,2022,13.015068,80.055503,West,Porur,Vehicle-theft,5,Rainy,0,0,1,4.44,Low,Moderate,0.38,1,1
CR000063,2020-08-06,08:14:10,8,Thursday,8,2020,13.046433,80.256157,East,Marina,Theft,6,Hot,0,0,0,5.81,Medium,Good,0.21,0,1
CR000064,2023-09-25,16:16:01,16,Monday,9,2023,13.031047,80.049476,West,Porur,Kidnapping,10,Clear,0,0,0,0.71,Low,Moderate,0.24,1,1
CR000065,2020-10-05,17:58:15,17,Monday,10,2020,13.012541,80.241886,South,Guindy,Murder,9,Clear,0,0,0,1.39,Medium,Good,0.14,1,1
CR000066,2024-08-28,10:05:16,10,Wednesday,8,2024,13.112932,80.13651,West,Ambattur,Murder,9,Foggy,0,0,0,3.81,Low,Good,0.22,1,1
CR000067,2019-08-04,08:24:33,8,Sunday,8,2019,13.035373,80.278022,Central,Triplicane,Eve-teasing,3,Foggy,0,1,0,4.71,Very High,Good,0.16,0,1
CR000068,2024-02-18,09:53:15,9,Sunday,2,2024,13.109938,80.124979,West,Ambattur,Burglary,6,Foggy,0,1,0,5.58,Very High,Moderate,0.39,1,1
CR000069,2024-01-26,06:05:51,6,Friday,1,2024,13.12923,80.142824,West,Ambattur,Drug-offense,7,Hot,0,0,0,4.6,High,Good,0.32,1,1
CR000070,2023-03-27,22:25:55,22,Monday,3,2023,13.091825,80.265583,North,Perambur,Eve-teasing,2,Rainy,0,0,1,2.45,Low,Good,0.19,0,1
CR000071,2022-10-12,10:36:57,10,Wednesday,10,2022,13.109908,80.152297,West,Ambattur,Fraud,6,Hot,0,0,0,2.97,Medium,Good,0.13,0,1
CR000072,2023-01-30,19:00:28,19,Monday,1,2023,13.029008,80.268345,East,Besant Nagar,Robbery,7,Rainy,0,0,1,4.78,Low,Moderate,0.29,1,1
CR000073,2022-09-12,03:17:18,3,Monday,9,2022,12.95637,80.20745,South,Velachery,Drug-offense,7,Clear,0,0,1,4.17,Low,Moderate,0.36,0,1
CR000074,2019-06-07,21:14:20,21,Friday,6,2019,13.046134,80.297375,Central,Egmore,Fraud,5,Rainy,0,0,1,0.88,High,Good,0.35,0,1
CR000075,2021-10-07,00:39:08,0,Thursday,10,2021,13.000864,80.277518,East,Besant Nagar,Assault,9,Clear,0,0,1,3.26,Medium,Good,0.11,1,1
CR000076,2021-05-29,22:28:48,22,Saturday,5,2021,13.032415,80.290262,Central,Triplicane,Murder,8,Hot,0,1,1,2.64,Low,Good,0.05,0,1
CR000077,2024-05-10,17:30:57,17,Friday,5,2024,13.147726,80.311114,North,Tiruvottiyur,Assault,7,Rainy,0,0,0,5.55,Medium,Moderate,0.09,1,1
CR000078,2022-01-13,18:32:05,18,Thursday,1,2022,13.062889,80.235859,South,T.Nagar,Kidnapping,10,Foggy,1,0,0,3.09,Very High,Good,0.1,1,1
CR000079,2024-11-08,11:18:46,11,Friday,11,2024,13.198564,80.285367,North,Tiruvottiyur,Kidnapping,8,Foggy,0,0,0,0.51,Low,Moderate,0.09,1,1
CR000080,2020-09-12,13:25:44,13,Saturday,9,2020,13.026764,80.260177,Central,Mylapore,Murder,8,Rainy,0,1,0,4.03,Low,Poor,0.35,0,1
CR000081,2021-01-26,17:41:25,17,Tuesday,1,2021,13.019925,80.252139,South,T.Nagar,Eve-teasing,2,Clear,0,0,0,5.95,Low,Moderate,0.3,0,1
CR000082,2024-03-28,00:52:03,0,Thursday,3,2024,13.012952,80.226527,South,Guindy,Drug-offense,7,Clear,0,0,1,4.8,Very High,Moderate,0.23,1,1
CR000083,2023-04-23,06:18:25,6,Sunday,4,2023,13.045593,80.28255,Central,Triplicane,Drug-offense,7,Rainy,0,1,0,0.96,Medium,Poor,0.1,1,1
CR000084,2023-05-17,14:29:58,14,Wednesday,5,2023,13.062953,80.268242,East,Marina,Murder,9,Foggy,0,0,0,4.21,Medium,Good,0.09,0,1
CR000085,2021-08-27,17:55:32,17,Friday,8,2021,13.087042,80.21384,North,Perambur,Kidnapping,9,Hot,0,0,0,1.37,Medium,Poor,0.16,1,1
CR000086,2020-08-13,21:14:28,21,Thursday,8,2020,13.035066,80.231353,Central,Nungambakkam,Burglary,5,Foggy,0,0,1,4.91,Medium,Moderate,0.39,1,1
CR000087,2020-01-31,00:18:25,0,Friday,1,2020,13.130259,80.151106,West,Ambattur,Kidnapping,10,Clear,0,0,1,5.96,Low,Poor,0.26,0,1
CR000088,2020-03-10,17:58:55,17,Tuesday,3,2020,13.099713,80.267613,North,Washermanpet,Burglary,5,Clear,0,0,0,0.53,Medium,Good,0.28,1,1
CR000089,2020-05-28,13:37:11,13,Thursday,5,2020,13.104011,80.272608,North,Washermanpet,Drug-offense,6,Rainy,0,0,0,5.81,Low,Moderate,0.38,1,1
CR000090,2021-02-18,17:01:37,17,Thursday,2,2021,13.00439,80.250483,East,Thiruvanmiyur,Robbery,6,Foggy,0,0,0,4.64,Low,Good,0.16,0,1
CR000091,2019-11-24,10:19:57,10,Sunday,11,2019,13.118054,80.216225,West,Anna Nagar,Vehicle-theft,7,Rainy,1,1,0,2.27,Very High,Poor,0.16,0,1
CR000092,2022-12-19,15:34:54,15,Monday,12,2022,13.101111,80.230134,North,Perambur,Vehicle-theft,4,Foggy,0,0,0,2.5,Medium,Poor,0.32,1,1
CR000093,2020-08-31,08:03:15,8,Monday,8,2020,13.094183,80.192164,West,Anna Nagar,Drug-offense,7,Hot,0,0,0,5.08,Medium,Moderate,0.34,1,1
CR000094,2022-10-15,07:18:40,7,Saturday,10,2022,13.079901,80.20952,West,Anna Nagar,Eve-teasing,2,Rainy,1,1,0,5.75,High,Moderate,0.22,0,1
CR000095,2023-12-14,12:38:11,12,Thursday,12,2023,13.122099,80.241393,North,Perambur,Theft,6,Foggy,0,0,0,4.18,Medium,Moderate,0.3,0,1
CR000096,2024-07-27,21:44:20,21,Saturday,7,2024,13.070779,80.274456,Central,Egmore,Burglary,6,Clear,0,1,1,3.54,Very High,Good,0.19,0,1
CR000097,2019-11-02,02:34:36,2,Saturday,11,2019,12.912296,80.133271,South,Tambaram,Kidnapping,8,Rainy,0,1,1,1.55,Low,Good,0.06,1,1
CR000098,2021-05-31,00:36:45,0,Monday,5,2021,13.113128,80.289735,North,Royapuram,Theft,3,Hot,0,0,1,3.8,Low,Good,0.23,0,1
CR000099,2020-12-27,23:19:33,23,Sunday,12,2020,13.035076,80.236312,South,T.Nagar,Vehicle-theft,4,Rainy,0,1,1,4.37,Medium,Moderate,0.11,1,1
CR000100,2019-04-30,21:02:21,21,Tuesday,4,2019,13.021917,80.071552,West,Porur,Drug-offense,7,Rainy,0,0,1,5.85,Low,Poor,0.4,1,1
CR000101,2020-01-18,10:05:42,10,Saturday,1,2020,13.035106,80.032628,West,Porur,Burglary,7,Foggy,0,1,0,4.7,Medium,Good,0.1,0,1
CR000102,2022-05-31,01:34:20,1,Tuesday,5,2022,13.005686,80.288311,East,Besant Nagar,Drug-offense,7,Clear,0,0,1,2.15,Medium,Good,0.15,0,1
CR000103,2024-02-19,09:54:47,9,Monday,2,2024,13.104606,80.273002,North,Washermanpet,Fraud,5,Clear,0,0,0,4.0,High,Poor,0.18,1,1
CR000104,2020-05-02,01:53:42,1,Saturday,5,2020,13.112557,80.224429,West,Anna Nagar,Assault,7,Foggy,0,1,1,5.39,Very High,Poor,0.33,0,1
CR000105,2019-11-04,01:17:55,1,Monday,11,2019,12.994432,80.309987,East,Besant Nagar,Theft,5,Rainy,0,0,1,4.8,Low,Moderate,0.18,0,1
CR000106,2019-05-06,03:27:55,3,Monday,5,2019,12.934211,80.118364,South,Tambaram,Vehicle-theft,7,Rainy,0,0,1,1.54,Medium,Good,0.35,0,1
CR000107,2019-12-30,09:59:43,9,Monday,12,2019,13.073256,80.275448,Central,Egmore,Murder,8,Hot,0,0,0,4.83,Low,Moderate,0.35,0,1
CR000108,2021-05-21,16:54:48,16,Friday,5,2021,13.039043,80.24885,Central,Nungambakkam,Eve-teasing,2,Clear,0,0,0,2.52,Very High,Poor,0.24,1,1
CR000109,2022-09-27,15:22:31,15,Tuesday,9,2022,12.971175,80.202443,South,Velachery,Kidnapping,8,Foggy,0,0,0,4.74,Medium,Good,0.22,1,1
CR000110,2019-11-03,11:12:51,11,Sunday,11,2019,13.000673,80.267583,Central,Mylapore,Drug-offense,9,Foggy,0,1,0,0.5,Low,Moderate,0.13,1,1
CR000111,2019-06-02,13:52:41,13,Sunday,6,2019,13.036396,80.265649,Central,Mylapore,Robbery,6,Foggy,0,1,0,4.93,Low,Poor,0.19,1,1
CR000112,2020-03-12,06:15:53,6,Thursday,3,2020,13.03544,80.276518,East,Marina,Murder,8,Rainy,0,0,0,5.61,Medium,Poor,0.39,0,1
CR000113,2021-01-01,18:00:36,18,Friday,1,2021,12.998013,80.244544,South,Adyar,Burglary,7,Hot,1,0,0,3.51,Medium,Poor,0.14,0,1
CR000114,2021-02-24,07:09:05,7,Wednesday,2,2021,13.078298,80.211349,West,Anna Nagar,Vehicle-theft,7,Hot,0,0,0,5.45,Low,Moderate,0.08,0,1
CR000115,2022-05-14,12:14:41,12,Saturday,5,2022,12.998759,80.287623,Central,Mylapore,Kidnapping,10,Hot,0,1,0,1.98,Medium,Moderate,0.11,1,1
CR000116,2019-02-21,08:26:11,8,Thursday,2,2019,13.115874,80.290892,North,Royapuram,Fraud,4,Clear,0,0,0,3.11,Low,Poor,0.07,0,1
CR000117,2020-02-06,03:17:11,3,Thursday,2,2020,13.088524,80.267116,Central,Egmore,Theft,5,Hot,0,0,1,2.69,Low,Poor,0.36,0,1
CR000118,2023-12-09,23:24:44,23,Saturday,12,2023,12.992161,80.245577,South,Adyar,Eve-teasing,5,Foggy,0,1,1,5.53,Low,Good,0.38,0,1
CR000119,2020-07-01,21:21:22,21,Wednesday,7,2020,13.028215,80.205811,West,K.K. Nagar,Eve-teasing,2,Foggy,0,0,1,0.68,Low,Moderate,0.39,1,1
CR000120,2023-10-29,19:49:17,19,Sunday,10,2023,13.161342,80.315394,North,Tiruvottiyur,Burglary,8,Rainy,0,1,1,2.79,Low,Poor,0.28,1,1
CR000121,2021-11-27,13:56:36,13,Saturday,11,2021,13.013241,80.276913,East,Marina,Vehicle-theft,5,Clear,0,1,0,3.36,Low,Good,0.1,1,1
CR000122,2022-05-06,18:14:50,18,Friday,5,2022,13.027537,80.298339,East,Marina,Vehicle-theft,5,Clear,0,0,0,3.59,Low,Moderate,0.34,1,1
CR000123,2021-04-09,03:05:47,3,Friday,4,2021,13.006518,80.255391,East,Besant Nagar,Vehicle-theft,4,Rainy,0,0,1,4.14,Medium,Moderate,0.37,1,1
CR000124,2021-01-29,03:07:28,3,Friday,1,2021,13.087986,80.273602,North,Washermanpet,Drug-offense,6,Rainy,0,0,1,2.21,High,Moderate,0.13,0,1
CR000125,2023-01-28,21:30:17,21,Saturday,1,2023,13.040907,80.290278,Central,Triplicane,Kidnapping,9,Foggy,0,1,1,5.76,Very High,Good,0.15,1,1
CR000126,2019-09-18,01:21:57,1,Wednesday,9,2019,13.119842,80.250527,North,Perambur,Theft,6,Clear,0,0,1,0.9,Medium,Moderate,0.36,0,1
CR000127,2019-04-12,00:27:13,0,Friday,4,2019,13.033998,80.252055,Central,Triplicane,Burglary,7,Clear,0,0,1,2.22,Low,Moderate,0.36,0,1
CR000128,2022-10-01,13:20:00,13,Saturday,10,2022,13.024279,80.23928,South,Guindy,Robbery,8,Foggy,0,1,0,3.52,Low,Poor,0.08,1,1
CR000129,2020-02-25,10:42:24,10,Tuesday,2,2020,13.107814,80.290932,North,Washermanpet,Eve-teasing,3,Foggy,0,0,0,1.98,Medium,Moderate,0.36,0,1
CR000130,2021-07-16,14:38:49,14,Friday,7,2021,12.978758,80.233067,South,Velachery,Assault,7,Hot,0,0,0,3.04,Medium,Moderate,0.33,0,1
CR000131,2023-07-20,23:24:29,23,Thursday,7,2023,13.045941,80.26336,Central,Mylapore,Murder,8,Hot,0,0,1,5.66,Low,Good,0.09,0,1
CR000132,2023-03-12,04:14:30,4,Sunday,3,2023,13.126991,80.276767,North,Perambur,Robbery,8,Hot,0,1,1,2.33,Low,Poor,0.25,1,1
CR000133,2022-01-01,06:52:45,6,Saturday,1,2022,13.057343,80.033556,West,Porur,Robbery,8,Clear,1,1,0,3.27,Low,Good,0.11,0,1
CR000134,2023-10-06,11:18:20,11,Friday,10,2023,12.921842,80.115808,South,Tambaram,Burglary,8,Hot,0,0,0,1.26,Low,Moderate,0.37,1,1
CR000135,2022-09-17,03:18:36,3,Saturday,9,2022,13.133429,80.283719,North,Royapuram,Assault,7,Rainy,0,1,1,5.24,Medium,Moderate,0.37,1,1
CR000136,2020-04-16,23:24:13,23,Thursday,4,2020,13.056708,80.24519,South,T.Nagar,Drug-offense,7,Hot,0,0,1,0.51,High,Poor,0.14,0,1
CR000137,2022-04-10,03:02:03,3,Sunday,4,2022,13.054886,80.295933,Central,Triplicane,Kidnapping,10,Hot,0,1,1,2.24,Very High,Moderate,0.27,1,1
CR000138,2021-03-05,04:22:01,4,Friday,3,2021,13.020209,80.259831,Central,Mylapore,Kidnapping,8,Clear,0,0,1,5.46,Medium,Poor,0.06,1,1
CR000139,2021-06-22,16:16:56,16,Tuesday,6,2021,12.978161,80.279987,East,Thiruvanmiyur,Drug-offense,6,Clear,0,0,0,3.51,Low,Poor,0.29,0,1
CR000140,2024-02-11,14:21:16,14,Sunday,2,2024,13.132058,80.111838,West,Ambattur,Theft,5,Foggy,0,1,0,5.92,Very High,Poor,0.21,1,1
CR000141,2024-08-30,21:43:13,21,Friday,8,2024,13.000524,80.252029,East,Thiruvanmiyur,Assault,5,Hot,0,0,1,2.21,Low,Good,0.32,0,1
CR000142,2023-06-22,01:20:56,1,Thursday,6,2023,12.926924,80.140894,South,Tambaram,Vehicle-theft,7,Rainy,0,0,1,1.33,Low,Moderate,0.23,0,1
CR000143,2022-03-13,21:00:26,21,Sunday,3,2022,13.060135,80.292528,East,Marina,Drug-offense,6,Rainy,0,1,1,2.36,Medium,Moderate,0.14,1,1
CR000144,2024-05-12,11:28:08,11,Sunday,5,2024,13.052941,80.195757,West,K.K. Nagar,Burglary,8,Clear,0,1,0,3.71,Medium,Moderate,0.31,0,1
CR000145,2022-11-20,08:32:17,8,Sunday,11,2022,13.019617,80.255417,South,Guindy,Eve-teasing,5,Clear,1,1,0,1.36,Very High,Good,0.2,0,1
CR000146,2023-05-15,15:41:55,15,Monday,5,2023,13.075407,80.268207,Central,Triplicane,Murder,8,Rainy,0,0,0,3.17,Medium,Poor,0.38,0,1
CR000147,2022-01-03,22:17:38,22,Monday,1,2022,13.134689,80.302529,North,Tiruvottiyur,Drug-offense,9,Rainy,0,0,1,3.28,Medium,Moderate,0.18,0,1
CR000148,2023-06-07,20:11:50,20,Wednesday,6,2023,13.028364,80.266599,South,T.Nagar,Vehicle-theft,5,Rainy,0,0,1,5.16,Low,Good,0.16,1,1
CR000149,2024-08-10,23:41:05,23,Saturday,8,2024,13.101198,80.254126,North,Perambur,Eve-teasing,3,Clear,0,1,1,2.7,Medium,Poor,0.12,1,1
CR000150,2024-05-27,05:28:24,5,Monday,5,2024,13.125039,80.218736,West,Anna Nagar,Murder,9,Clear,0,0,1,5.05,High,Poor,0.3,0,1
CR000151,2019-06-28,21:29:30,21,Friday,6,2019,13.048333,80.215381,West,K.K. Nagar,Theft,3,Clear,0,0,1,5.5,Medium,Good,0.21,0,1
CR000152,2022-02-08,12:02:13,12,Tuesday,2,2022,13.140731,80.293479,North,Royapuram,Kidnapping,8,Foggy,0,0,0,0.53,Medium,Moderate,0.35,1,1
CR000153,2020-01-20,04:32:24,4,Monday,1,2020,13.005922,80.263677,South,Adyar,Theft,4,Clear,0,0,1,4.55,Low,Moderate,0.39,0,1
CR000154,2019-09-27,06:57:44,6,Friday,9,2019,13.03385,80.266883,Central,Mylapore,Burglary,6,Foggy,0,0,0,4.97,Medium,Moderate,0.05,0,1
CR000155,2020-11-18,06:15:09,6,Wednesday,11,2020,13.052395,80.23844,South,T.Nagar,Vehicle-theft,5,Rainy,1,0,0,3.66,Medium,Good,0.14,1,1
CR000156,2022-07-07,11:39:11,11,Thursday,7,2022,13.108737,80.293334,North,Royapuram,Drug-offense,8,Foggy,0,0,0,3.52,Low,Good,0.05,1,1
CR000157,2024-02-03,08:53:33,8,Saturday,2,2024,13.158535,80.281467,North,Tiruvottiyur,Eve-teasing,5,Rainy,0,1,0,5.64,Medium,Good,0.16,0,1
CR000158,2023-02-27,07:18:04,7,Monday,2,2023,12.999377,80.207634,South,Guindy,Fraud,5,Foggy,0,0,0,2.61,Medium,Good,0.06,1,1
